originator,OML.aic,OML.ols,OML.sp,GML.aic,GML.ols,GML.sp,Competitive Suppression.aic,Competitive Suppression.ols,Competitive Suppression.sp,Direct Suppression.aic,Direct Suppression.ols,Direct Suppression.sp,Generalized Competitive Suppression.aic,Generalized Competitive Suppression.ols,Generalized Competitive Suppression.sp,Generalized Direct Suppression.aic,Generalized Direct Suppression.ols,Generalized Direct Suppression.sp,ROE Competitive Suppression.aic,ROE Competitive Suppression.ols,ROE Competitive Suppression.sp,ROE Direct Suppression.aic,ROE Direct Suppression.ols,ROE Direct Suppression.sp
OML,309.297164691362,-177.065017199448,-166.46562587302,361.675236117048,-218.521031589126,-165.796725433347,381.450318532764,-207.242675031781,-198.74320097911,347.345180345191,-201.631171701963,-187.014640494879,451.258868237174,-249.71823830506,-200.483955331899,369.051782763597,-264.469103240323,-175.567412609559,553.464285562555,-278.879902151109,-271.331051537325,537.49212781585,-530.47221400633,-198.359860214244
GML,292.2795733705,-157.052335952169,-154.91907608156,209.779809144379,-121.464419216655,-105.174850740893,339.405858021704,-184.505678548598,-181.593796620261,342.987923710063,-184.717147808875,-181.129823700299,346.486584041359,-180.5909444444,-169.551699089651,221.380119704693,-134.685657215363,-110.678802163004,528.643517772637,-262.170502521499,-257.495530494319,578.734832290905,-481.078582670543,-197.283177686719
Competitive Suppression,375.697032911282,-224.142462279074,-201.632887394738,427.223784141679,-261.757072582539,-195.448909526866,305.865253444534,-170.868656478578,-163.022883395193,411.186063434321,-253.432523020332,-221.881644026934,361.164755936084,-243.85176840764,-165.991782343422,441.760457435464,-273.880737145102,-202.826011259963,473.66585036243,-247.932021600694,-232.064873017001,572.893492322317,-434.25691806184,-241.212297910626
Direct Suppression,364.934513710068,-218.147785678348,-192.26278601201,420.516910259416,-292.988929469582,-195.693821808681,438.88024151807,-236.146781845041,-227.803592393595,364.392692263392,-212.74706342408,-194.267144146047,509.142625429227,-280.389323453028,-230.171775899956,409.690092988232,-294.967052448201,-193.897960634108,591.595806467887,-300.443971996825,-288.926117587957,519.224265121857,-287.177406038141,-200.878015924928
Generalized Competitive Suppression,410.721826863135,-224.853542176163,-218.202743728067,363.590804265273,-265.360290824128,-190.794172389493,345.079969093299,-195.427557702791,-188.796115983827,447.355850895829,-244.671102167683,-237.698307021597,319.803003913692,-176.948252442683,-166.210600458822,375.071987140624,-272.730916641568,-197.808984452222,465.860966874017,-222.129253159469,-227.636353983709,611.432474264717,-370.983593214697,-245.578372836517
Generalized Direct Suppression,319.831142962177,-172.142619662454,-166.422892500937,169.670913279999,-155.605711487234,-101.578168081448,350.82979454467,-190.671483933451,-185.58998145646,363.102530153821,-195.56814076566,-188.460861653942,329.925794668381,-196.128753017525,-164.262427197927,165.063045942188,-120.098658663205,-87.5117203046328,526.793299616402,-258.666176574438,-256.209380347017,581.422635255489,-550.414793709942,-204.797674655434
ROE Competitive Suppression,565.41286771737,-315.51609269097,-296.670564700955,605.423700397438,-348.982539638392,-291.048421990755,520.284344461068,-277.554990613879,-271.837803172825,582.768241647122,-325.336131523244,-306.070575247398,581.322050081225,-328.458181648679,-280.501427071511,607.310697487535,-356.94695495722,-291.864077223105,574.23532133531,-268.379899943334,-254.880557285045,679.059244164396,-351.212773481956,-310.410008639368
ROE Direct Suppression,589.932886625586,-331.414120016198,-315.060915550712,642.704618573724,-352.35841941512,-333.334480406273,620.986996172421,-334.639858299476,-330.60715954277,575.961590991758,-323.771714080842,-306.145318948243,686.734710305553,-365.989162289575,-347.6737473066,622.41264212555,-347.021368630581,-322.210192441501,716.049974948396,-389.294687661667,-360.637137780368,624.890818512102,-342.979736076413,-313.987271864335
OML,295.005926893443,-163.619312273053,-160.035412191082,347.906004213011,-207.702033373113,-169.09600706304,375.975522720582,-226.757113716013,-202.346511903884,331.472908122585,-184.80032033773,-179.833858741294,438.385032005136,-260.581862240195,-203.237914798799,361.789034993522,-232.440926751347,-178.727444458119,552.429334496607,-293.693485925937,-271.694552738243,576.505384265327,-545.643045651175,-201.240872853792
GML,322.361411321018,-172.152195092658,-167.949856807539,212.354598535357,-136.09028643371,-113.017092537171,356.407669611835,-196.326753385507,-189.537440523375,365.741670648265,-192.334871809169,-189.897152545985,342.578583215931,-190.877589925631,-169.372162197728,225.08724588753,-138.393763468522,-112.514527868837,526.401442968885,-259.166623209688,-256.690786867361,604.854520478131,-483.991514000436,-206.533199707994
Competitive Suppression,365.692022049907,-207.932779598971,-194.657973115645,411.180161582939,-251.653640694537,-197.253205217395,308.733189448654,-171.907052890171,-168.738089859884,403.097523023426,-232.177066744035,-215.517212019787,365.065801475135,-233.035800417782,-175.681945177078,420.703166949865,-261.291507730535,-202.939625662814,482.512012130952,-244.842285297112,-236.925489279715,604.030961905215,-350.221592574952,-241.732725191886
Direct Suppression,360.971020723221,-202.389005296699,-193.191517819138,391.778463489221,-263.920019885057,-189.745594083781,442.937069574684,-242.956211055791,-233.334542511988,342.600240334029,-193.099248124277,-182.284994416109,486.345338534237,-261.122570422738,-229.968890660987,387.455393944594,-220.959459712243,-183.982989879173,595.692019024705,-305.680807478502,-292.84340879178,481.695888424468,-376.709963301439,-192.214216683151
Generalized Competitive Suppression,379.326547604901,-198.723002971814,-196.930648096162,333.819089040713,-194.944134157616,-163.367313746051,309.786427675895,-170.797400005409,-165.027699005886,421.126798951637,-222.274932657941,-220.317592224994,283.386173245497,-164.48472925491,-147.06819367918,348.227831624311,-206.618588765098,-171.313394070045,469.080296421298,-227.589104518236,-225.225512986807,592.999770927448,-401.970643448784,-240.070829024375
Generalized Direct Suppression,314.162397632492,-194.259489068149,-170.263421191661,214.317865748498,-136.276919686466,-122.496743522728,352.578284451198,-191.778098147989,-186.462231595931,356.104274720736,-209.6552441654,-187.308767205245,330.886866292804,-179.634107189052,-167.529803197706,186.349907731618,-175.67845239724,-108.229492438468,526.271956301763,-262.103278043055,-256.588791020335,593.718224141892,-502.543912115473,-204.361115096887
ROE Competitive Suppression,565.965249809114,-297.260642622834,-292.931139594117,616.971969177067,-348.947226198247,-298.51840756143,519.136765637576,-273.306786150261,-269.640037849227,584.540281780729,-308.395104335398,-303.011062622161,585.877428381487,-343.644244351717,-283.03709508024,620.525708195482,-352.680605865276,-299.541352359615,562.833906337109,-272.476887738577,-271.042463618121,683.052006669923,-363.422075472224,-312.923260709183
ROE Direct Suppression,598.78592903466,-422.398374201091,-333.079938592288,636.828517344458,-415.441927122887,-330.425266694388,621.580986060693,-403.517758103212,-343.017503949026,592.217575244758,-417.410555399966,-327.31757653782,663.834089468441,-394.273603493943,-341.606375471972,631.382099987091,-431.572349343173,-324.723542192921,708.796571285896,-413.003739120506,-361.339315155384,686.427956834256,-447.917808026692,-333.062023305722
OML,317.946983412622,-175.41482711113,-170.060551602992,387.148166984559,-209.120667110696,-179.67070015178,399.724649669768,-215.816223896103,-209.665754681417,349.175639553932,-193.149524571671,-185.234810744105,466.882255126236,-245.066880974822,-216.282561731839,398.123402735755,-233.738174708033,-186.119415267579,571.036750015956,-283.922273067608,-279.312507839171,573.315478466365,-392.15367037829,-200.776061075248
