originator,OML.aic,OML.ols,OML.sp,GML.aic,GML.ols,GML.sp,Competitive Suppression.aic,Competitive Suppression.ols,Competitive Suppression.sp,Direct Suppression.aic,Direct Suppression.ols,Direct Suppression.sp,Generalized Competitive Suppression.aic,Generalized Competitive Suppression.ols,Generalized Competitive Suppression.sp,Generalized Direct Suppression.aic,Generalized Direct Suppression.ols,Generalized Direct Suppression.sp,ROE Competitive Suppression.aic,ROE Competitive Suppression.ols,ROE Competitive Suppression.sp,ROE Direct Suppression.aic,ROE Direct Suppression.ols,ROE Direct Suppression.sp
OML,276.390113399749,-163.281642365469,-149.318860058496,324.772105259923,-203.363843852101,-150.392875767026,353.532646278712,-198.697332929996,-188.948006313851,320.696715910062,-192.524941371175,-172.913271504541,400.003672026057,-215.935096811455,-187.977409808313,354.298868362751,-222.284671861348,-169.318388114725,538.351555924922,-273.663563095441,-265.100200793912,543.237356336955,-557.131781759584,-195.29648272778
GML,315.242071945342,-171.668852177878,-164.159072043702,196.960779776907,-151.236157481239,-114.673810893033,335.671388410581,-185.392891639561,-180.324414579609,358.466082985297,-197.530344075986,-190.071102226659,331.966766047851,-225.081687125845,-166.6820418368,218.863265636104,-178.729960618458,-121.835469514482,518.330761320817,-264.667953105367,-253.84173867697,562.053637571818,-480.957185656241,-202.122565195794
Competitive Suppression,383.949552944957,-212.426133515855,-205.899836002515,424.019791860089,-307.39091096995,-203.054750065923,312.034130740588,-178.274797677955,-170.44778226562,425.738142985216,-237.923490134296,-227.481589594556,366.780379816731,-262.197141777868,-177.29427432106,441.337143303766,-302.013578297247,-210.767107660842,467.110878742861,-233.740586669762,-229.040773260596,616.830534289454,-473.647946528817,-248.809177440288
Direct Suppression,369.345737815764,-196.577756487461,-192.729617993354,420.287443805287,-412.576406990606,-197.027059599085,436.156865193267,-235.66204098368,-230.178707665543,350.983744669458,-191.693765154998,-185.239893515187,479.262474127631,-275.861757464603,-233.737966703483,405.077261946854,-294.968921115187,-185.665423226527,585.394607354494,-293.790358719068,-289.517867914399,463.503397946526,-359.387289307754,-190.017779034588
Generalized Competitive Suppression,408.657940864998,-225.642115195808,-217.179585147454,333.133867528125,-202.910602395495,-177.269641915574,335.154352616448,-202.528672403033,-176.078934569953,446.750494857279,-246.037327779557,-233.624358345385,289.800857948342,-233.83770236334,-151.007058406092,353.205579217646,-209.741197539472,-182.513605975321,467.236866137898,-224.73692054971,-223.324313425188,591.388357419413,-438.459278836858,-248.693196904645
Generalized Direct Suppression,334.347286217957,-184.421652002769,-174.429206542875,241.881337275225,-149.911852886718,-129.64820005693,354.375996792752,-194.362764843218,-186.015454995586,375.828389674912,-202.857074671313,-195.682173087687,352.938852099652,-199.368618662331,-173.403493145129,222.298755348443,-136.256190597474,-125.893419601157,529.037066592951,-261.368619344488,-257.296102247093,579.839475825738,-426.104995532428,-209.42513190955
ROE Competitive Suppression,568.338250271156,-303.723277986577,-299.863062748513,610.019832485867,-335.227432266786,-299.125651800675,528.893858926912,-277.468523442073,-275.700794134225,586.247453632441,-314.924316527142,-309.503990670051,591.391138289133,-317.831073285528,-286.175540417116,614.622598636458,-350.96453128519,-299.934087026391,594.68858780408,-286.408390981834,-299.155273429111,688.296886373648,-363.622891354664,-315.915517704985
ROE Direct Suppression,571.922217170817,-305.665616921133,-304.46609453137,631.371330781656,-372.380518408256,-316.758746287741,608.713043748387,-325.412099735328,-321.944783325189,562.829537255735,-300.752135446361,-299.507112152665,676.371870997743,-385.637115313573,-331.985796537262,622.963899391344,-372.523953317016,-310.696228909457,700.582361222776,-345.694932245059,-350.243243775257,632.744627810323,-303.57205882089,-301.355697826933
OML,305.745900350924,-172.932677796209,-160.810488673863,356.921985861525,-258.990200426567,-161.556337551704,397.033987831602,-221.218841146526,-208.67894283891,327.78772886389,-181.172645689136,-169.471546307018,457.656387483605,-261.098444725559,-208.532167516293,363.940406847235,-309.028965333316,-168.11331249684,571.126783402692,-288.367470767425,-279.706520614826,547.038837775172,-446.69175674156,-187.747683757588
GML,320.53983839084,-180.605393308789,-167.083717155671,188.035658205887,-126.464789521354,-102.935519264279,332.139763476041,-180.426991836949,-176.387931847869,363.884493596925,-208.230180650367,-190.646064711017,313.731307729503,-203.445846350328,-150.312390063441,220.840646659381,-148.469562400703,-116.103642159421,515.638595237201,-256.033831864403,-251.267368079541,570.875787825996,-464.63201449991,-205.693582904802
