originator,OML.aic,OML.ols,OML.sp,GML.aic,GML.ols,GML.sp,Competitive Suppression.aic,Competitive Suppression.ols,Competitive Suppression.sp,Direct Suppression.aic,Direct Suppression.ols,Direct Suppression.sp,Generalized Competitive Suppression.aic,Generalized Competitive Suppression.ols,Generalized Competitive Suppression.sp,Generalized Direct Suppression.aic,Generalized Direct Suppression.ols,Generalized Direct Suppression.sp,ROE Competitive Suppression.aic,ROE Competitive Suppression.ols,ROE Competitive Suppression.sp,ROE Direct Suppression.aic,ROE Direct Suppression.ols,ROE Direct Suppression.sp
OML,300.430548194348,-170.612926612344,-156.672711510255,365.071481110006,-212.283851049081,-158.20098489833,374.712861740572,-212.636784082735,-200.335577311191,328.956546760889,-181.94160675156,-176.263379829847,444.626455871389,-242.55370400979,-199.806917948331,378.940022669574,-222.17269687607,-175.747911422344,551.978893060553,-281.07022839692,-272.931853575588,531.281961692445,-388.458581981289,-200.806613717175
GML,331.778928657322,-183.261256230525,-173.431156246509,226.462242618751,-140.606324566541,-117.333830858156,339.066969099094,-188.199812439001,-181.584690154762,375.697714965167,-204.360987491988,-194.82638550544,326.887016437986,-176.746003709363,-159.364463406511,239.54479665523,-143.27568578847,-119.542584593874,521.486657436142,-255.76767408626,-253.123284100549,624.99460070626,-426.124170465089,-210.531557115263
Competitive Suppression,376.835943067709,-215.95783600935,-201.8541285033,418.424445655688,-381.279357525213,-202.223792342938,311.344908355655,-166.178951337296,-163.538820035398,419.746185674002,-237.834625448276,-222.663551236819,341.456714503915,-236.215654797087,-161.310579478309,437.011121547108,-363.725701421209,-211.359025287959,461.94176293608,-228.757500156476,-225.041578141908,597.172334390156,-396.526681440119,-244.199679228128
Direct Suppression,370.002871629572,-201.458801200815,-197.909657601242,396.799672847789,-227.815207015776,-194.478631471699,455.405487096576,-249.653534303815,-241.28794898842,336.110206953104,-182.130144757202,-177.739425526107,502.606419587822,-267.254930868051,-236.774021623185,373.774643805665,-218.043021478303,-177.857241357003,609.34568910452,-313.765449943764,-297.654020701748,463.39264973707,-307.099591311553,-197.223124200182
Generalized Competitive Suppression,403.652075818141,-217.379161733522,-211.66183459843,321.214120959481,-297.922066348859,-170.943145536648,331.743816170085,-200.417719190453,-177.506792777303,440.698858029045,-235.515961835663,-231.366560574535,269.392941268981,-252.968729293421,-143.521679038179,327.963576009908,-299.821257041566,-174.343231746006,465.296712751362,-229.772311488742,-223.142337912715,613.774012964492,-384.275780786694,-245.366252847463
Generalized Direct Suppression,293.334901798019,-166.553608594485,-155.266215816008,222.81206668202,-139.808363996742,-121.521264832216,334.383102210738,-182.210194171238,-179.115086759278,337.284438034477,-188.897483609096,-177.326508090126,342.0771729468,-190.133048530663,-170.113936686308,208.556209097885,-139.845807548172,-116.0075729666,530.423635989822,-265.840134228832,-258.51458689027,573.128130150289,-451.842143695698,-203.053260149995
ROE Competitive Suppression,560.012461155509,-317.255034724969,-296.564562516672,590.270473840299,-345.164705465747,-296.111278964402,523.09482416354,-301.36572159121,-278.463115966702,574.146960847204,-322.945613970045,-304.538013760529,581.362714190181,-344.993542625542,-287.908667009543,590.456689396727,-336.019588003037,-297.070860650686,603.261344724053,-300.236018043437,-269.665528273345,681.597408720559,-364.196213839306,-309.601414666166
ROE Direct Suppression,587.455627847928,-322.629965790859,-321.006609171806,621.523951179839,-395.047725264857,-323.964524526083,607.222969140827,-339.490624160194,-336.075739921317,575.755699773638,-313.031185900256,-312.125059063836,656.850056685154,-382.444775292821,-340.495766698449,612.56490471237,-404.65407368723,-321.69760840285,692.8721868771,-361.81154044955,-358.098344894579,669.658021550328,-334.541702866071,-311.086879104416
OML,260.804844272006,-146.371949274163,-140.055094280121,329.009091502077,-233.943515694011,-146.235789675452,362.366134717242,-202.808349916898,-187.300653728096,299.024827198376,-166.02656577098,-159.338203714878,418.505976540592,-251.514631622197,-186.428740143167,338.287780626567,-193.985435105204,-155.522533234723,551.31159698267,-278.587050407052,-270.189916063355,601.531649434895,-470.281092314673,-180.06009769043
GML,294.08795151408,-171.484529808218,-155.247934553527,191.297298981699,-132.24539829983,-109.121047166505,323.446893597723,-187.022969960408,-172.65917656036,344.574235567559,-201.14608821225,-183.65919898584,313.768384951438,-183.527059722053,-158.949204896864,218.040835491545,-148.802661851996,-122.881604061965,512.136839520978,-255.959410061627,-250.669969764005,581.94637202547,-747.268723830785,-197.521967548118
Competitive Suppression,369.982915932874,-215.011555689366,-200.025623260927,388.6868066299,-256.609736296152,-193.434039201579,310.801983778637,-171.792041464872,-167.927787597881,418.582523050055,-236.377231250264,-222.495973178141,350.821628889584,-250.311598961286,-175.876569965129,413.935621437607,-276.541827927422,-202.235988769166,474.941300157739,-237.448601298544,-233.849280479075,594.412623335078,-437.468809843096,-243.753461184199
Direct Suppression,373.089111766898,-203.628044050308,-198.25773913,426.792114625605,-240.729278525289,-206.64933260747,436.52027773678,-244.707446815606,-233.501428493011,361.01798263188,-201.365955758562,-193.800912393423,497.627883928671,-297.165010345331,-235.782102506468,418.260313369538,-246.031940554163,-200.600901315337,581.038163347609,-301.303607222034,-290.037750167459,538.19843904118,-349.969456013698,-196.755639238904
Generalized Competitive Suppression,380.996614482929,-212.049618728381,-202.974594478933,337.567233532642,-193.808542832739,-172.456822983924,331.867611411978,-184.606778148308,-177.097332731992,417.254023224001,-228.229738108716,-221.059338823727,291.990122601588,-188.158760159957,-152.839207206057,350.871199357427,-207.178140722431,-177.898437787535,482.297094225959,-236.056781456212,-234.56059988253,615.700234649086,-383.810041558459,-228.828953988403
