originator,OML.aic,OML.ols,OML.sp,GML.aic,GML.ols,GML.sp,Competitive Suppression.aic,Competitive Suppression.ols,Competitive Suppression.sp,Direct Suppression.aic,Direct Suppression.ols,Direct Suppression.sp,Generalized Competitive Suppression.aic,Generalized Competitive Suppression.ols,Generalized Competitive Suppression.sp,Generalized Direct Suppression.aic,Generalized Direct Suppression.ols,Generalized Direct Suppression.sp,ROE Competitive Suppression.aic,ROE Competitive Suppression.ols,ROE Competitive Suppression.sp,ROE Direct Suppression.aic,ROE Direct Suppression.ols,ROE Direct Suppression.sp
ROE Direct Suppression,541.240009367358,-348.911557837475,-316.336970157949,574.800966016225,-379.629875505898,-325.161013762777,589.694800605683,-343.58840849027,-331.060611959941,534.52933212116,-350.162999637468,-312.845619796551,650.294648740235,-391.664980859843,-341.386262421044,562.015447120904,-371.8202089744,-315.178131479689,694.427697858467,-360.29497600738,-354.054668717225,651.365138904815,-522.502467611759,-314.161302624089
OML,310.088475244027,-170.901583860295,-161.58842492093,365.184140576177,-207.893214374635,-163.245050925927,378.391278373528,-220.93176235929,-198.350664057998,341.733916572388,-192.540952061996,-179.471497379039,432.666871185843,-329.537591425292,-198.108769331163,378.392219484464,-222.07526121737,-175.718349203655,554.843015317482,-290.458557428443,-273.524532878878,580.698263224143,-486.306228672942,-198.806490264318
GML,295.116181407297,-157.545510767157,-155.894922936708,184.709429424842,-108.153372105569,-98.7914679081942,320.995864918525,-180.855289507472,-175.582663463928,351.915564011501,-185.966781964679,-182.364769647291,295.963298022929,-227.521120112479,-157.933837137982,208.254975121866,-133.505057468155,-110.661800517089,512.88851655273,-255.092944363005,-251.154076211857,607.741456396324,-443.81128311576,-197.479350244153
Competitive Suppression,375.508665948366,-208.257270836126,-199.309622439592,415.588404859155,-278.773684713389,-195.682385713368,324.371360656758,-173.941918320126,-172.007517190877,408.498447166462,-228.348682949847,-217.548719156819,381.2661052293,-229.375174167209,-179.629203761206,427.081380203405,-299.610778159986,-202.612693618257,492.227336842418,-247.937369777341,-241.265562902806,622.449117928955,-424.383419543682,-225.20432454912
Direct Suppression,340.289816871834,-192.580903780748,-178.586437522574,387.597825250121,-264.515176994349,-181.067491603905,408.381892413212,-234.510766542367,-214.257725848702,330.047053201909,-179.518651000583,-174.051704572593,461.054326375395,-292.241978568494,-215.900095900054,373.158521460732,-217.199553454114,-175.267141002968,569.228967220432,-299.900210422868,-280.549753526174,438.897394755152,-318.586635547459,-173.185076858257
Generalized Competitive Suppression,381.834827775257,-206.545273370675,-201.55966625834,325.984714060515,-218.656941926984,-165.29146395428,336.039048403366,-183.010918617385,-179.454360010283,425.4052409634,-232.06305367217,-226.168709294844,290.152152817045,-212.083775691469,-149.405990942696,342.116252134783,-193.956844651214,-178.190483719983,486.94772287598,-237.91737091954,-235.814915670618,622.740165076065,-511.392877577922,-253.213045502636
Generalized Direct Suppression,326.822036195316,-172.584796198531,-169.709789167245,229.113265564682,-151.421826534593,-119.483979345421,356.121750458252,-188.401083036341,-186.054622510655,362.796039121345,-189.544786295345,-186.502770207294,343.320189089024,-215.225461344964,-168.748182756496,183.607689360096,-121.245156470698,-98.5883916594133,523.48674139149,-259.854233501111,-254.742578678967,529.901506635748,-394.53206048384,-203.279307711486
ROE Competitive Suppression,577.98080798375,-318.718467877883,-302.755419986656,609.407084453251,-355.93746860662,-297.55491129888,533.599742584011,-302.762540724247,-281.010496608959,596.815793489631,-326.829750788991,-311.939261692017,572.413553790003,-337.762066642278,-278.71647492021,614.95508371401,-358.804885661296,-300.21448165336,588.37302263436,-290.051135186807,-285.25137621808,700.356994558142,-378.932135421569,-316.99481150696
ROE Direct Suppression,568.124184465287,-316.957378976492,-312.418753138621,627.198224038808,-372.262765228595,-313.866878439958,593.840670409327,-337.480863931991,-327.947907871416,562.469820528487,-310.859264558248,-304.572122983161,650.563064009707,-374.944314220495,-325.925736837967,624.987011201896,-379.447629899714,-309.323505215506,682.853678654174,-362.340845598287,-350.014740904869,647.905291729764,-339.581706307616,-308.106996031281
OML,302.180759014178,-167.209505513257,-160.505040655756,354.921174662214,-266.20724336463,-160.839906449749,389.860323213677,-223.115509187186,-208.407039741447,343.310689777254,-194.12953683909,-181.62638677729,445.913103934517,-283.97156021141,-207.055020126754,378.649691676739,-314.985148040568,-178.849359811031,569.360892756766,-290.83795335495,-280.477664430216,575.667171823646,-520.553122466538,-210.731466614751
GML,311.24067756827,-173.889458928108,-164.234225808671,193.362875162658,-108.868169419356,-98.7077111741949,325.502757367819,-179.862143802387,-174.355597406995,360.502685609662,-204.119110539693,-189.664018103553,311.324769896188,-183.220033617974,-154.437971899735,214.31329355018,-144.949546815286,-117.08693284135,520.376653610043,-262.185407028874,-253.309143029555,556.523895413333,-439.695158668387,-205.979991563225
