originator,OML.aic,OML.ols,OML.sp,GML.aic,GML.ols,GML.sp,Competitive Suppression.aic,Competitive Suppression.ols,Competitive Suppression.sp,Direct Suppression.aic,Direct Suppression.ols,Direct Suppression.sp,Generalized Competitive Suppression.aic,Generalized Competitive Suppression.ols,Generalized Competitive Suppression.sp,Generalized Direct Suppression.aic,Generalized Direct Suppression.ols,Generalized Direct Suppression.sp,ROE Competitive Suppression.aic,ROE Competitive Suppression.ols,ROE Competitive Suppression.sp,ROE Direct Suppression.aic,ROE Direct Suppression.ols,ROE Direct Suppression.sp
OML,290.058870071792,-163.704261259922,-154.374973028713,348.320291874297,-223.004673705817,-159.940803491328,393.42212229776,-212.854947079228,-206.145717109605,319.539991744362,-178.506654470943,-172.860498361695,453.126290630202,-235.309085077319,-206.276736072072,362.822041218191,-214.892921341833,-172.655210069719,574.258997380655,-289.056212561515,-279.701412075556,534.142630271272,-490.349542617138,-187.215416630104
GML,319.47035529449,-178.030806096323,-168.45663002746,171.763638979615,-120.18467556472,-89.3820531378565,347.96048809602,-189.072557371015,-184.526420191548,369.879414114804,-208.312988139956,-192.533144910708,326.679095061629,-179.951485209377,-162.810253127843,208.847188353392,-136.141979098248,-113.807114786885,524.309198426929,-260.565145634184,-256.882204811443,596.672369994653,-718.821703720334,-217.312890206912
Competitive Suppression,391.834208172015,-211.634339446013,-206.707146561739,413.177946040162,-234.471460704614,-198.999685417013,329.588543687859,-181.28580895367,-175.512348390086,431.85422158914,-234.983079080626,-229.685852952507,383.888987477785,-256.682368623565,-177.342565784586,430.196098818259,-238.407048274952,-206.589191690649,474.315476172683,-240.539047215237,-227.658644856695,639.349563551755,-467.732402481264,-238.498020356044
Direct Suppression,387.573194420735,-203.315372646927,-200.110048544646,438.103432271625,-313.943642865485,-201.448747019989,462.101758610051,-247.737542334303,-236.619869970254,375.719019170068,-200.67953798228,-194.598986909066,514.27254508008,-292.135106194335,-236.551505698443,439.4220354035,-239.629964115115,-197.452493093427,603.082111818694,-306.55052661153,-294.224378422741,538.252520504527,-371.268767081717,-199.861088764923
Generalized Competitive Suppression,398.4327421361,-209.36497755589,-205.476955002672,341.92686994717,-199.284505711997,-170.905890547093,335.646371495222,-186.222199100278,-177.827605651027,431.173952103386,-227.45859296259,-222.540064481105,301.570867363746,-171.565720219523,-154.506594381768,346.862514530866,-212.540756605787,-173.923037538839,471.909478734488,-228.727401744026,-226.725362786719,566.547462022678,-370.40423266198,-237.596497660744
Generalized Direct Suppression,319.173483820505,-175.601420741939,-168.839828705722,254.877331017119,-160.757504925418,-129.600102389997,365.797311198492,-200.337912478543,-192.531690403492,348.980286266185,-186.770148900418,-182.136053470833,365.924638473694,-221.959158818646,-181.805781677871,215.018132445701,-122.801422645528,-109.661847220693,538.285417331797,-271.16896838841,-262.127623154643,522.681293005655,-348.418002297009,-199.858209173658
ROE Competitive Suppression,594.732301767516,-315.659573920742,-311.728827389846,616.407372909349,-333.00062066667,-301.012307440641,550.378474908969,-292.049808131352,-289.29374565446,607.367581461879,-323.085163927137,-318.869853498035,604.741609457188,-333.181216961017,-292.63953629913,618.067179355885,-337.731994857144,-300.923847882461,615.314046362736,-298.289062964333,-297.886850123051,692.56840236358,-381.655550672581,-321.421817782102
ROE Direct Suppression,588.677337562711,-324.703020656838,-320.614162014675,642.701756434118,-351.259928188835,-331.180873716273,613.610487806274,-343.449043710994,-337.643094747665,578.892606808778,-316.784095297225,-313.47277091015,679.732466094571,-368.396581596525,-343.66511491739,632.51373881668,-344.03927057292,-323.38057091795,699.148401043335,-368.469517651856,-359.956125720803,642.617798284985,-345.885106320817,-316.029334623468
OML,291.579555408495,-167.716341063197,-157.964064950443,333.892835275003,-213.293519208063,-159.837939518244,396.967337157729,-215.299759639581,-210.841984057916,319.837211784665,-185.152562413464,-171.919300691641,444.056242278118,-283.663641159955,-210.521964073894,344.978744931835,-222.393563052375,-168.547616092149,571.16096036357,-283.63090166371,-279.536757067979,494.076966353668,-399.823367171143,-181.268252039691
GML,308.12959447872,-168.062901270439,-164.427341764795,171.43403619888,-106.39829291286,-101.081598351816,328.269600212619,-191.974352406564,-179.602932622655,363.917759858085,-200.069899930584,-192.805256542328,296.098020436511,-181.441124981942,-153.75232367556,219.360401888161,-137.091391399461,-120.559879151437,506.975383719652,-253.08500514278,-248.94065476578,612.731217321154,-660.398536894298,-208.101559844511
