originator,OML.aic,OML.ols,OML.sp,GML.aic,GML.ols,GML.sp,Competitive Suppression.aic,Competitive Suppression.ols,Competitive Suppression.sp,Direct Suppression.aic,Direct Suppression.ols,Direct Suppression.sp,Generalized Competitive Suppression.aic,Generalized Competitive Suppression.ols,Generalized Competitive Suppression.sp,Generalized Direct Suppression.aic,Generalized Direct Suppression.ols,Generalized Direct Suppression.sp,ROE Competitive Suppression.aic,ROE Competitive Suppression.ols,ROE Competitive Suppression.sp,ROE Direct Suppression.aic,ROE Direct Suppression.ols,ROE Direct Suppression.sp
OML,266.008950941931,-143.073115204175,-140.487914894216,303.316479670306,-178.751226065727,-143.53934790366,359.678057488462,-196.46457878244,-193.297125501235,303.92641396467,-164.414213602022,-160.645209024934,409.509900999454,-224.416424445304,-195.106109054214,323.268133530429,-199.650420247288,-156.932947570574,554.535871647692,-283.416763696984,-272.494243014278,540.084987506857,-447.332039719161,-172.288641655604
GML,310.791089118064,-168.884660661705,-163.62472217712,217.709138912185,-131.850414449557,-114.992560589227,346.574211558544,-196.139461157991,-184.879952145088,352.045090680412,-191.833030396538,-187.387953570332,330.751313572043,-195.257265102571,-172.232395404274,237.984860551363,-181.217222235012,-128.235051542769,526.682829996518,-264.040327460729,-257.444524335747,557.75180388554,-629.967488377733,-206.692521197627
Competitive Suppression,384.421899747895,-214.056669154437,-204.200117006297,410.705988311627,-314.788394430965,-198.987130330207,321.75566779834,-184.976007680415,-174.445211928761,421.808478177282,-232.037240750263,-223.867248278051,372.492449666443,-265.518289939453,-175.64383782474,424.885446191536,-329.547306742993,-207.560811051606,478.36574020257,-246.114138423279,-233.645066176735,603.865961449615,-392.558700880566,-237.882883677974
Direct Suppression,356.135958721577,-202.114062442613,-193.972887919642,404.408335284423,-264.109383957358,-198.640524930348,422.611730300146,-235.152118478861,-222.198399661188,342.212392028498,-196.462457690598,-187.306517127325,488.959285765475,-312.883146517064,-224.743357965624,387.458344299543,-243.119781044222,-187.679063626874,576.452233548687,-287.65889218771,-282.57251663913,473.742412873574,-383.962714686627,-193.088292935763
Generalized Competitive Suppression,393.543155471808,-270.716016593006,-206.729217344925,328.520078013,-298.180898975995,-161.433843111677,324.337913688865,-187.653739215977,-172.07621410344,430.955966098014,-281.529235084121,-227.534350418994,291.338733873704,-191.912685966628,-142.189571404657,338.9469988665,-297.764417750657,-165.722325433537,469.021916046874,-244.306567292358,-236.078457155986,587.137546050086,-454.615367883435,-245.019392235618
Generalized Direct Suppression,314.41229908846,-166.172428629151,-163.853778654738,203.648352053777,-144.877772892173,-105.968089136425,344.319857304616,-190.701258893781,-184.28055494741,356.074700056815,-188.360578342554,-184.496607089486,317.509953488482,-186.490132642847,-161.609524436052,185.493044678619,-132.827934371227,-96.8034697801049,520.732552062436,-257.970636695693,-254.496811126338,539.008576886851,-454.665168993033,-194.244240142754
ROE Competitive Suppression,562.561301962366,-307.508763039941,-294.344637822135,593.304039314969,-335.078479053567,-291.451529036297,513.854823009496,-276.185262053301,-268.657389978733,580.036243203434,-317.179843002637,-303.311303508558,573.657607977966,-334.988795127651,-277.937491419271,592.68034071894,-340.149779899407,-291.173188108438,595.218945148152,-285.697289344931,-297.998609185022,685.060997356465,-373.534416390162,-310.18890638048
ROE Direct Suppression,575.006646045861,-305.622114168328,-304.364517982217,629.493562512406,-411.785177615244,-322.348856350299,605.665134358354,-324.153137766239,-321.083251056135,565.233808321795,-299.116820275676,-297.839100034812,666.692095596377,-384.053418754259,-334.642114497453,619.101920173184,-373.68159661463,-315.012700350719,699.850071252938,-353.538994033567,-348.834154924065,629.974147844877,-338.465773872138,-302.503513754926
OML,305.460390907554,-177.137660868545,-162.037821890872,366.664192708754,-240.113034838184,-166.263366741027,398.414550467762,-213.197675814043,-209.510615662455,329.297462193336,-191.204311093846,-177.231662792997,462.502719965675,-252.236396435696,-209.412849274447,385.286197677771,-232.863212669987,-180.202317725598,571.771793970647,-288.401208958444,-280.474206837662,491.789813799974,-342.867958556621,-200.778424664877
GML,311.769117267621,-195.243000660539,-164.062408519077,201.768357012481,-156.284220915143,-117.853553133349,338.844239574532,-183.465003026037,-178.244471269838,357.176837057012,-205.129519040987,-187.814720467298,317.146900299225,-209.571916252522,-156.688633210486,205.332554086946,-137.503043943687,-113.734826475753,520.044038174154,-257.943037029641,-253.410295954155,583.953458070669,-569.138302475505,-204.887364384585
