originator,OML.aic,OML.ols,OML.sp,GML.aic,GML.ols,GML.sp,Competitive Suppression.aic,Competitive Suppression.ols,Competitive Suppression.sp,Direct Suppression.aic,Direct Suppression.ols,Direct Suppression.sp,Generalized Competitive Suppression.aic,Generalized Competitive Suppression.ols,Generalized Competitive Suppression.sp,Generalized Direct Suppression.aic,Generalized Direct Suppression.ols,Generalized Direct Suppression.sp,ROE Competitive Suppression.aic,ROE Competitive Suppression.ols,ROE Competitive Suppression.sp,ROE Direct Suppression.aic,ROE Direct Suppression.ols,ROE Direct Suppression.sp
OML,277.694766333268,-157.235790672044,-147.874494304547,327.065986135091,-274.602484580206,-152.061421039772,350.093817889685,-191.520033995736,-186.75024195826,313.238286832785,-183.182500011859,-165.897869834352,407.738727516284,-239.866985757571,-192.767158068089,348.441299360978,-230.540944225571,-160.560321728257,542.274209809224,-272.68911715095,-266.278406829001,520.274059873264,-478.016283345487,-190.872849343539
GML,306.544721695203,-165.403299858953,-161.596152145754,205.17736202286,-137.986550899137,-106.54950631522,313.24949565363,-172.572871379108,-165.33436929197,358.658201440855,-192.143257888837,-188.863178176597,296.475428862328,-177.343334682007,-144.680963066873,242.259530954855,-163.731669515666,-123.49867031414,503.170214815742,-249.82089259562,-245.214565014839,608.208893168555,-452.457888990559,-202.745269410923
Competitive Suppression,390.433324061956,-223.355340444015,-209.3799898469,410.02590998826,-233.259862015657,-200.173535520821,328.580923026099,-182.871869387368,-177.871765492394,429.137002322842,-240.824602166754,-228.860708888118,368.020614455694,-213.98135411529,-179.366586556685,423.023535272673,-253.013710963224,-208.600447077883,466.386570431292,-234.102624953277,-226.844984784961,585.841769036539,-391.52900987867,-243.439837442671
Direct Suppression,334.539402631996,-195.425455739573,-177.615582666988,373.400474777849,-217.134618593392,-174.309200612282,426.840466318416,-239.774885721346,-221.996014075548,316.505672891184,-190.499487646251,-169.397288788358,477.786669672746,-262.691303569665,-221.264069580097,365.697637087966,-214.423118031214,-170.360105345328,592.965371325128,-320.725347263954,-288.647034643969,476.523802480627,-264.826453475141,-176.855060678363
Generalized Competitive Suppression,415.186530925528,-223.694679067442,-219.346826885833,331.689505404851,-217.720539358195,-172.570598900555,350.397121637804,-234.904937968396,-188.545503704666,451.459609657732,-247.059582261445,-238.654242716789,252.914262851177,-274.191285631279,-145.346318852201,348.723743083562,-231.326603582152,-182.772754834956,473.44252966655,-233.814462946064,-230.155111342896,594.018505015581,-409.347420306075,-247.698402235482
Generalized Direct Suppression,311.392955865433,-173.961112691277,-164.121755065159,217.999422040929,-142.296776635647,-117.488312645611,353.167087424451,-197.079256218809,-187.497091825008,344.153791221868,-189.281530541571,-180.108843176338,351.678967472682,-205.729230552706,-176.849244826486,196.08322885738,-121.13575976332,-104.269479170302,532.307104001887,-261.548812935992,-259.012459271476,538.64651411715,-494.158049250454,-192.101342567455
ROE Competitive Suppression,547.942618014033,-297.948330786393,-284.756391681248,572.262355774951,-315.642139388401,-276.006215118655,489.903483779176,-259.912546046373,-254.240741215588,569.418078246523,-311.255008669431,-296.727867317991,538.293025895549,-279.781306510225,-257.602368297694,576.007239589047,-328.952927177221,-277.769694317634,537.365329440905,-257.45430205667,-238.541633243805,678.449974791754,-399.934683447917,-309.035457150459
ROE Direct Suppression,581.743633602428,-318.196642719435,-316.008377041378,622.281188680998,-367.234771947056,-322.810912880135,609.225332402007,-330.568526103147,-328.924784358296,574.977960236717,-311.302821849686,-309.401715382438,654.229081070384,-394.349525052235,-332.678021271902,614.140459782372,-348.798675143993,-316.058380477767,700.232263527347,-360.988388713742,-356.923471961022,676.449241016941,-438.027537035912,-312.474854202023
OML,263.460506345674,-141.440070896527,-139.531924862029,332.617202508064,-180.29388804367,-152.358740697857,362.827997934611,-201.712052761298,-198.248785316277,318.868653531639,-171.616332636803,-168.837952962048,424.856219158984,-239.033979081695,-199.164622483375,368.096585671654,-215.732637282337,-170.489825617341,556.332233897878,-286.540767476526,-275.408964135337,598.802958380755,-639.23173234205,-186.942785911055
GML,280.944161762073,-158.830340916725,-150.674119258436,188.234228856294,-110.864582533512,-93.6282096898321,327.663086655521,-181.799552335552,-173.203258446305,337.603249153869,-190.909088876552,-180.769574108576,304.132020214814,-166.663028886242,-150.138064155138,217.443917679719,-133.760090585359,-108.426915023048,519.453073521161,-258.44194698937,-252.754450894223,585.998247751339,-768.344313946429,-207.241392069208
Competitive Suppression,375.707320888272,-210.385992422715,-200.923745762407,375.502795972442,-211.17065006919,-184.041468084341,316.248040596967,-186.303049960384,-174.771139996078,410.906240098867,-225.705831156229,-218.589824899242,357.318949825387,-216.797333029954,-173.714300037543,385.094105477488,-206.025776158575,-189.228204360932,474.685771510759,-233.524716588781,-230.793608922079,630.272861584466,-476.886967381312,-236.731577518677
Direct Suppression,344.51029393478,-185.106381351934,-180.8899153845,388.79898096574,-382.52198026989,-185.077724485201,426.196638126875,-228.653705030945,-223.289376160047,326.60395725334,-177.335242354637,-174.955549070174,469.220715344508,-247.868844690042,-223.697277522823,378.679442215997,-230.333594338551,-181.14698431209,583.501433833466,-289.856915927511,-285.971706727909,502.451944928979,-399.033890430789,-182.24601307774
Generalized Competitive Suppression,389.26731239104,-210.318967319988,-205.725111316441,362.750617417396,-200.572931695464,-181.404177119917,332.810790366442,-179.481938043259,-177.289952320253,427.589888080196,-232.285909949728,-227.490076854671,320.577225529125,-239.2439300244,-164.253846337739,373.356537354504,-215.395130686981,-189.628163922335,466.599107680095,-235.036801881105,-229.385088041033,581.001713135736,-404.439922185494,-250.304248552065
Generalized Direct Suppression,313.6155752646,-166.665900121888,-162.486326671365,220.743413627207,-133.685683762017,-116.002527813881,351.427514063327,-190.175080931472,-185.778219480141,342.581477557781,-179.088947596495,-177.117938873634,339.837532765564,-215.845467813822,-173.208106551188,189.468754802455,-115.409954903659,-100.755885047141,526.399942807709,-262.136502097139,-256.834913283108,532.484580647513,-389.782038836481,-192.053624904116
ROE Competitive Suppression,572.144450365014,-328.741789708106,-307.595892704255,607.093145100054,-357.652109334611,-302.615475233805,521.296349167404,-301.09571440427,-282.484068658037,591.134189235081,-335.010537650264,-314.725362418077,580.540291270735,-326.970005554041,-287.031199952261,611.200844498614,-357.173530444317,-302.838926666305,587.449406962463,-290.667715309896,-290.866039309164,718.457513727046,-381.409256244414,-320.091630881038
