originator,OML.aic,OML.ols,OML.sp,GML.aic,GML.ols,GML.sp,Competitive Suppression.aic,Competitive Suppression.ols,Competitive Suppression.sp,Direct Suppression.aic,Direct Suppression.ols,Direct Suppression.sp,Generalized Competitive Suppression.aic,Generalized Competitive Suppression.ols,Generalized Competitive Suppression.sp,Generalized Direct Suppression.aic,Generalized Direct Suppression.ols,Generalized Direct Suppression.sp,ROE Competitive Suppression.aic,ROE Competitive Suppression.ols,ROE Competitive Suppression.sp,ROE Direct Suppression.aic,ROE Direct Suppression.ols,ROE Direct Suppression.sp
OML,303.64180662594,-171.881098525205,-161.515597251641,346.098509095658,-226.467997278619,-163.415334057876,388.916958488774,-214.174192993959,-204.214455496627,330.127787518262,-192.828882077679,-181.275587757894,444.839020954069,-250.136794610829,-205.981757981122,368.840790408555,-235.969986380631,-177.761741130117,560.503504417619,-297.044880084828,-275.221624045954,487.952100452091,-455.097798425165,-186.081026038399
GML,307.575327484597,-170.505160694517,-162.011358201179,191.986224687968,-128.48332476365,-104.260357336391,331.829429634708,-184.275333732592,-176.70921764152,357.055015451606,-199.063987883829,-190.931344513017,301.88681486496,-191.191588550102,-153.639540986406,215.70867385941,-153.910897127551,-121.362023028097,512.854593728625,-254.341337217136,-250.02239288755,561.510401239543,-501.121298770413,-201.517522798589
Competitive Suppression,378.41337468272,-202.487075658014,-198.70048543897,415.825181083684,-223.390367902612,-199.297980245736,314.260195372049,-180.170582878516,-168.081030429698,415.416083995523,-225.281129225171,-220.68709707207,374.599495909699,-214.854946552413,-173.443403451418,431.002657643372,-239.483987458516,-206.161606431682,476.902980379817,-239.746492995274,-230.17959907792,605.091639511535,-447.29951258122,-232.602925665845
Direct Suppression,333.706999715208,-195.896968683462,-178.512657510154,380.121039999901,-229.242456584672,-178.021544999819,411.424522202536,-225.887367267477,-216.646846499883,317.176699049102,-188.362673533576,-171.707403203003,460.175996649667,-269.865604198601,-216.924015558904,364.145943347158,-224.82548577521,-170.561022808875,577.59184955478,-292.268750886309,-282.884052605571,408.876020907,-311.742968177165,-178.555738145064
Generalized Competitive Suppression,395.061264211552,-234.780624013558,-209.372781998517,346.314330514861,-282.766249406744,-192.810487977847,317.628595230242,-182.78642906528,-169.05569763459,432.9937926281,-235.517546173094,-230.644308430845,281.353144169336,-240.544508886517,-162.433187131686,360.39551853639,-266.910502001854,-200.74997961437,469.327881613118,-232.608348727615,-227.562099654426,580.209050204809,-412.163208264093,-249.699260121179
Generalized Direct Suppression,327.271549579658,-175.702137007173,-171.742019306433,235.181303721895,-157.626786422379,-126.825990091988,349.786570530107,-190.911745673345,-185.656654083207,361.881145532293,-192.205189280388,-188.822949447526,347.948449306544,-199.301248604629,-172.066994751855,199.364155518513,-136.371576943343,-116.962507846794,528.015545176791,-261.747265579813,-256.351887473229,525.882512979741,-407.896313954063,-207.804385547151
ROE Competitive Suppression,545.776299557167,-289.268546533076,-284.635853379447,581.16390285592,-320.855372829052,-288.068313277867,489.684984596924,-257.793334619079,-256.503668262148,562.75821719154,-297.847201526854,-293.214884294668,537.600745106215,-276.838522049317,-265.372593570905,584.844203098708,-328.804847874427,-288.864351470755,527.682335259111,-254.968769572623,-259.220294078202,655.064478070407,-353.283210118199,-299.751475431471
ROE Direct Suppression,595.201429116707,-340.434780784491,-334.120790514654,645.712191015462,-386.516875973859,-329.767631840043,619.555135761903,-346.889600864473,-345.086192194343,585.784468903719,-328.871458219264,-324.979892475613,672.814149552002,-378.039701287778,-343.601401981969,631.020008467683,-375.837991694536,-318.203653095796,710.614896180855,-369.068333696111,-364.526836395527,698.993949710114,-432.121638450564,-334.098666794738
OML,300.924413845572,-166.952551025259,-159.375227388473,344.891145537649,-287.049318451374,-162.636504837058,384.005004060613,-220.359254797181,-200.569499474588,304.834260055587,-165.000744452228,-163.409930643375,443.793133340053,-281.440732056577,-200.642314822839,359.361350427829,-195.868268196793,-170.913063041566,558.675256631778,-291.711491760281,-273.573392535771,514.583864364698,-382.286572588459,-169.495645301922
GML,295.383245575949,-156.195984597389,-154.542127060314,193.156449661553,-165.374274334457,-98.3020604552244,318.474661196085,-171.821473348966,-169.260843614541,350.490378925492,-189.278782672701,-184.357958884289,305.974251454129,-211.536700651503,-150.893814047069,220.948201991733,-186.869008420684,-113.842394484436,509.555348394139,-252.91612990244,-248.063980049784,587.357303336253,-521.661644902896,-204.12056171777
Competitive Suppression,372.552288229198,-206.975860002015,-199.286829024168,409.742398910908,-282.599326308447,-198.108736579192,302.594946412913,-161.824524699621,-160.267796073961,415.712096865811,-230.479999029637,-223.143033981163,346.84046949706,-293.597660033809,-162.889618325642,428.708021559182,-293.594203251557,-209.455240181855,472.168125721526,-233.732188884773,-227.615125101061,629.573400775686,-475.382364537898,-236.246830043768
Direct Suppression,364.898540468483,-203.707260538797,-199.083661686546,403.928393970363,-230.935065431967,-200.465690239982,434.453279449279,-245.963319623208,-235.574977734771,351.837124504412,-190.919224656473,-184.524481322914,499.410277666384,-278.185459228482,-234.029720503566,392.541739055359,-228.721261920391,-187.409892619476,586.840037016266,-304.291410865769,-292.361693297155,507.551386702484,-331.665245862614,-199.537358611163
Generalized Competitive Suppression,422.60240897154,-233.454135219157,-226.192943840663,377.865485435673,-218.16920910293,-195.034212262639,345.515976921668,-187.176689100966,-182.750900380089,461.119848787528,-255.037079989613,-245.461524665546,309.39128004812,-179.56080813477,-156.780861454533,392.930046204502,-232.862715052394,-202.136908247886,453.340149185695,-222.15603278622,-218.274394279025,625.129812893406,-409.975697418444,-257.657322716021
Generalized Direct Suppression,303.698070269145,-180.841831857726,-160.154908981412,198.388888002063,-141.613040273897,-102.844735857445,348.311859535218,-189.566675356549,-184.880031009794,344.527217536864,-191.415389751805,-180.349898414907,319.258502427385,-207.766348404593,-158.421430236254,173.908840451531,-136.289836366333,-89.81497077009,521.979549651282,-258.799138772399,-254.460427599941,552.873442062098,-465.857622501426,-193.520168528364
