originator,OML.aic,OML.ols,OML.sp,GML.aic,GML.ols,GML.sp,Competitive Suppression.aic,Competitive Suppression.ols,Competitive Suppression.sp,Direct Suppression.aic,Direct Suppression.ols,Direct Suppression.sp,Generalized Competitive Suppression.aic,Generalized Competitive Suppression.ols,Generalized Competitive Suppression.sp,Generalized Direct Suppression.aic,Generalized Direct Suppression.ols,Generalized Direct Suppression.sp,ROE Competitive Suppression.aic,ROE Competitive Suppression.ols,ROE Competitive Suppression.sp,ROE Direct Suppression.aic,ROE Direct Suppression.ols,ROE Direct Suppression.sp
OML,291.591678737192,-158.956523363279,-155.613811996621,336.233202172699,-178.323961259967,-161.791615894921,370.335676738187,-204.663407587615,-198.287326060526,330.992670536478,-179.34268131455,-175.77088970511,440.522418760207,-265.23237510707,-207.421565262804,360.237142067959,-198.418777782487,-173.457007260646,549.697736015291,-274.290944702952,-271.702327591561,509.783482179204,-443.885627540279,-191.902289586099
GML,309.592679218721,-167.174053759016,-161.829605914838,189.020339477979,-137.246628092691,-96.1088630488703,332.727021718104,-181.53623567082,-177.71252153857,354.599787578564,-197.960970720533,-185.236812576977,300.847515090076,-178.520856314282,-150.837260765785,196.385011368542,-152.712118121469,-102.709893800105,507.913137585828,-252.170749253159,-248.958313578191,567.667298211137,-486.578281323615,-198.169601628065
Competitive Suppression,361.29310901542,-206.74876428868,-194.065721862269,398.298551489766,-231.990472977817,-189.489596641342,300.517507519253,-172.598126273317,-159.431188815088,400.073240572939,-228.780112593253,-213.305933294689,354.361546679296,-244.120704144405,-166.462788688069,412.72301251924,-239.636678720613,-197.319969911346,488.779018260621,-245.059061182841,-237.105281367986,626.2613268792,-436.03642690434,-227.779393740324
Direct Suppression,365.980981028241,-201.903883900367,-194.959765516049,410.066201914416,-223.510437114122,-197.618468712475,419.151993060366,-231.744632009278,-225.922688079395,347.564269921758,-194.115639663549,-183.987907041859,465.649674570753,-252.799928534294,-228.634299777152,402.789749217932,-236.863263552582,-192.728094862201,583.068797570522,-296.720356871948,-288.758211776128,492.210378487648,-315.853001622047,-190.363162375904
Generalized Competitive Suppression,383.982281803308,-205.387847732321,-200.355486954238,311.211648516129,-230.077873008416,-158.988899023886,308.809513276067,-169.855638415392,-162.378668169884,422.786123379433,-224.621130373772,-221.861211510494,264.177540310705,-184.110375078385,-131.467679903934,325.700063154344,-222.508116403337,-166.524694392029,467.340458356746,-231.736789747153,-225.601260458044,581.688403909982,-370.112057279678,-233.246875794709
Generalized Direct Suppression,344.907821306408,-198.004409067999,-185.369074585104,237.026422646945,-212.353749682386,-141.529641169501,367.301903300133,-204.113422369756,-199.334636780953,374.51786711286,-216.416233848354,-199.571065076779,354.72447863378,-223.932302635037,-182.386976486272,208.083288601722,-169.821757675149,-127.665708853098,535.466564532461,-268.065251450588,-263.065934139804,547.60797009795,-431.702563864639,-208.333100067041
ROE Competitive Suppression,555.52522571578,-304.716177958331,-291.452927931313,588.092195928344,-334.596984875132,-285.403161031425,506.963812304952,-269.808355069327,-264.451417307347,573.748029906762,-314.990847930474,-301.914523981143,558.208540372946,-310.496324984132,-267.852289704477,592.285813078274,-343.166618338029,-287.225945191829,564.686156129578,-266.573878491889,-252.940226137313,668.546692366012,-389.88042171551,-308.235104675195
ROE Direct Suppression,579.802991626041,-310.585229353551,-309.69519438669,632.671330397657,-349.667508387321,-325.157532781553,607.056001157794,-328.647297284787,-326.099551152686,572.176848627541,-305.832680345808,-304.709313998202,662.708180152188,-348.165919979988,-336.80681636037,627.151971998366,-348.829677032397,-322.266271312931,699.261438498685,-357.128117917264,-352.767970392088,630.987990361042,-362.09359281267,-303.923963782526
OML,310.241105510471,-167.301275811223,-163.775283629673,375.620023581863,-200.692291070954,-168.864883889843,375.883381609364,-214.860608827389,-198.89309957128,336.406101427252,-183.950250571516,-177.907050004364,441.035601189027,-253.356018071099,-201.669542778854,375.417052336974,-204.85011819388,-175.685320177605,553.647611669048,-285.282489690076,-271.651456522063,509.035799888503,-405.214739257758,-199.005356140055
GML,288.502757028907,-159.468692697814,-153.749453702742,194.214593250397,-278.406142795805,-99.4669655182037,322.760596486004,-184.336596837353,-176.152815505784,343.351889912186,-186.521257190697,-181.164148019888,311.904879398331,-181.595626951044,-156.437266538724,221.826178989286,-131.635191071354,-110.346378964569,513.86168707846,-253.527653550616,-250.723701510884,583.505988371054,-428.948169069435,-193.031383383852
Competitive Suppression,385.045011184493,-217.310473196715,-208.296672441997,421.411045227112,-228.879317013965,-199.755898711278,289.9457290436,-171.55967999976,-164.789747713474,423.065640370053,-238.363750945063,-227.088985536116,345.718739234034,-192.499592952587,-169.947928403991,432.923969522397,-240.258637765911,-205.457040685895,448.370029423042,-225.986388911569,-220.871307833523,598.227204149214,-418.141938368642,-238.133758327439
Direct Suppression,372.440489547475,-200.90515328199,-197.256087172512,402.674968902547,-226.958345405477,-193.593389060052,446.490676597601,-247.20796279651,-232.976525302767,360.219334605001,-201.047749733389,-193.48436964925,494.108580841891,-278.78095281087,-231.345946552274,406.880180158778,-226.950009391748,-194.562035771955,590.386879593043,-294.807343241235,-289.657031282308,472.172642203979,-308.752890200585,-196.612169269484
