originator,OML.aic,OML.ols,OML.sp,GML.aic,GML.ols,GML.sp,Competitive Suppression.aic,Competitive Suppression.ols,Competitive Suppression.sp,Direct Suppression.aic,Direct Suppression.ols,Direct Suppression.sp,Generalized Competitive Suppression.aic,Generalized Competitive Suppression.ols,Generalized Competitive Suppression.sp,Generalized Direct Suppression.aic,Generalized Direct Suppression.ols,Generalized Direct Suppression.sp,ROE Competitive Suppression.aic,ROE Competitive Suppression.ols,ROE Competitive Suppression.sp,ROE Direct Suppression.aic,ROE Direct Suppression.ols,ROE Direct Suppression.sp
OML,288.24385992391,-164.252203370728,-154.681574132679,335.874780299804,-204.835900386049,-159.074342763907,347.91437489422,-187.946745319352,-185.406381204352,338.572220871056,-187.177162972911,-182.400240264788,410.232968412127,-232.901079297895,-190.424200839453,362.309998480592,-230.236234025182,-175.769583266218,538.869698893537,-276.451368857727,-264.054875141477,582.360724334234,-597.57637642582,-209.496553117265
GML,298.170447036717,-164.416121170632,-157.523535656609,193.870494607062,-125.636063883983,-109.545381108131,324.045422343643,-194.058598731039,-180.508480087414,355.295858520995,-195.116423828928,-186.563719004128,306.598956746648,-194.612927234567,-167.475697130573,224.178472108853,-168.322255258548,-124.032767894588,515.427107370727,-255.890008938084,-253.50499190709,583.416914857505,-475.562397225911,-209.066947310058
Competitive Suppression,378.191534990395,-207.368056091122,-200.626978937922,407.040609697375,-242.192854693591,-192.188338520734,311.933247085392,-172.284895613466,-165.883822958494,418.598032932778,-234.720644392759,-223.867767708428,350.435995361671,-202.024942137585,-166.363678634272,424.99126929688,-272.113136382381,-200.37543226579,472.500463458457,-234.129145070709,-230.53024141204,581.759869285502,-408.806840706212,-242.305027909489
Direct Suppression,368.493271521891,-201.57734358504,-194.899901504418,404.481604025155,-214.689662185866,-192.527811074137,440.256911449866,-245.383780375959,-234.402277275529,345.838150689589,-189.004142262155,-182.159170528967,483.671107273494,-273.254691499859,-233.135100454083,398.320278733719,-212.132057673407,-187.198807027426,591.834127027507,-295.204840920018,-293.79886119869,460.439477139317,-277.73583678835,-189.537263004664
Generalized Competitive Suppression,391.415304645611,-209.155701160906,-205.312545481457,358.953453614618,-221.026069650232,-192.721498998802,342.831280076959,-190.670032273177,-183.953675933911,428.362334092516,-228.499143567387,-224.92517691577,310.36231942624,-201.53917316945,-166.924179531942,369.288232518758,-227.234272344116,-196.761592691582,483.391994631176,-238.17681674192,-237.484321197373,586.172905689472,-384.369833183865,-238.693386249832
Generalized Direct Suppression,330.312135041303,-177.989144283732,-174.54177048281,229.984736813044,-132.940462610432,-120.099073291776,357.320279446913,-194.194332525038,-189.113493108933,363.308353023983,-194.018409890085,-188.022704492872,338.332368011845,-6260.86250453634,-167.852638702636,203.116584883279,-116.825976420167,-107.069520775874,529.458096126923,-267.368669522659,-257.214512806713,535.884918182845,-446.059939785876,-208.923484819973
ROE Competitive Suppression,558.390285904731,-305.612230985409,-296.064697279615,591.703436804294,-343.301024189128,-292.657897253542,507.04937625228,-275.101278975,-269.861033368904,581.020009026515,-317.828950872761,-306.399427974212,564.768466341585,-331.73046478816,-277.696024687774,596.537960020512,-351.689898483515,-293.307798092747,570.956942934637,-263.184917485555,-271.462730907154,705.008484859922,-371.675394537018,-314.994560802141
ROE Direct Suppression,585.387384066373,-340.687900331924,-327.360595200895,623.02083536475,-351.50122330481,-326.99714034573,620.663891048725,-371.954552674537,-340.148599092425,574.56848351679,-319.33017647866,-314.355748196715,669.742096670528,-373.504088698334,-339.827710742191,613.198243101847,-347.429547342456,-319.422872351882,710.585402974408,-384.909465955102,-359.586386332486,667.585052577029,-374.782656698929,-315.166998732815
OML,285.977435677635,-161.107430799072,-149.76564015762,332.848931929602,-210.157557371169,-150.499731376265,360.992332288858,-194.255699452573,-190.262475648944,324.83280293459,-183.514379047581,-170.276309858798,406.981822161017,-243.852031431152,-188.405412252565,361.53155226474,-245.392059351021,-167.748877483744,549.237273319204,-278.569189782025,-269.396209859175,558.025261291991,-461.937476577505,-207.125624622985
GML,328.384173746645,-180.381679073425,-172.212295894271,210.450309408765,-130.197175982916,-120.797258444515,361.130193155773,-211.053263184407,-195.026942964041,370.442294372433,-200.202718868948,-194.316611924945,342.340751742204,-212.825252354863,-183.413250287599,224.206205239122,-159.386672143673,-128.468999143858,521.064738827443,-259.109040331619,-256.30661770089,601.787312607544,-431.163941748685,-206.740139004234
