originator,OML.aic,OML.ols,OML.sp,GML.aic,GML.ols,GML.sp,Competitive Suppression.aic,Competitive Suppression.ols,Competitive Suppression.sp,Direct Suppression.aic,Direct Suppression.ols,Direct Suppression.sp,Generalized Competitive Suppression.aic,Generalized Competitive Suppression.ols,Generalized Competitive Suppression.sp,Generalized Direct Suppression.aic,Generalized Direct Suppression.ols,Generalized Direct Suppression.sp,ROE Competitive Suppression.aic,ROE Competitive Suppression.ols,ROE Competitive Suppression.sp,ROE Direct Suppression.aic,ROE Direct Suppression.ols,ROE Direct Suppression.sp
OML,268.959048620475,-153.058949844253,-145.525019227043,311.935905788419,-177.790249115848,-147.558174612314,353.445955892191,-197.560774635928,-188.785700078354,313.565333255227,-181.71038099582,-171.311894686204,402.280633346984,-215.221282891863,-188.31724051443,338.655246116555,-196.693512641539,-169.427000660553,547.266198289594,-277.245157452688,-267.898161216017,518.977633398912,-525.395165030644,-194.718530160327
GML,318.787445783958,-175.815786930363,-166.728173758174,207.837250441171,-134.292674758507,-105.78080252119,341.798993592383,-194.124389417179,-180.576392556412,365.841234361181,-197.109584218525,-190.472807295924,323.253583714487,-187.025224141854,-161.636428677828,221.966279028642,-145.698280872113,-120.149784460528,515.831896745221,-255.878143748333,-251.735880054583,622.594270135356,-474.97451413907,-206.226387308011
Competitive Suppression,352.992453104712,-228.562886872809,-191.299710424771,373.587381893571,-253.345553174051,-184.296774877495,302.094457577108,-170.781662621886,-167.509567378208,390.617948946678,-237.800188536655,-212.841845603794,347.477524219816,-232.393518258425,-171.516994713038,389.47621119152,-319.617893929868,-193.738583141918,485.735428033059,-253.370600278823,-240.748871013231,599.457172367732,-417.50532399364,-219.836187007048
Direct Suppression,344.571411595406,-203.602885397041,-194.641319872762,391.109491231821,-248.853767122106,-195.819882588567,428.041263135117,-239.881373067363,-234.939130310633,318.217353301757,-184.878440801962,-174.668824137798,488.526790633703,-272.263570327637,-236.600875915753,372.404277394702,-236.050206152001,-178.944684758535,584.960073270989,-308.869068400083,-292.444586229675,494.292844882191,-365.969383518797,-194.738560381677
Generalized Competitive Suppression,394.072412611927,-221.468456276018,-210.406139420858,329.645668334779,-191.839105281225,-175.587072043864,330.163227798072,-195.86770578834,-176.699962237303,430.567533018402,-238.244039088635,-229.511442310421,295.186598131632,-201.972897929345,-156.264711597993,341.380987303738,-194.965619010544,-176.460777577014,471.470031139828,-228.780363013706,-227.78876896665,584.621246554753,-415.498158776652,-244.236214355987
Generalized Direct Suppression,295.067928510562,-157.494147293277,-154.020858713839,191.924455746197,-117.794946727467,-102.813991731987,341.314588069727,-184.595610317068,-179.871002416614,326.837953528163,-174.720751072075,-170.473464689088,342.854301471892,-197.337762856171,-167.600087547196,148.074125197854,-85.2268788643906,-77.6205741621239,527.535604368858,-262.349160384792,-256.992009210029,530.13484134237,-562.521261760195,-184.397533930192
ROE Competitive Suppression,530.884056690659,-286.489562564871,-276.888207246031,570.629718835963,-309.566840736616,-277.856236978634,478.849829973739,-252.337514347193,-248.352136059178,546.825692867042,-296.449657535493,-285.094261714793,528.333365820368,-293.300882988298,-255.952491022671,575.581755739658,-317.120711866182,-280.577275846759,530.270981909847,-253.093017321995,-246.619054073833,645.532096594694,-371.306037216527,-291.855213657754
ROE Direct Suppression,578.369624665028,-314.453559155028,-306.070474294539,621.221751871842,-333.461558794949,-315.057002734715,595.375933444875,-318.754948885106,-316.399219541559,569.89798515047,-305.95887367861,-300.174267095333,636.691633295719,-371.540961837207,-330.135245918275,614.548419690424,-327.933893157685,-312.365604019229,690.422022265299,-346.882997277428,-344.423768881689,693.013120870423,-367.278593343301,-303.83407968501
OML,282.296559774286,-156.929907922292,-151.70509502524,341.037710352478,-209.798220495642,-154.167144194992,368.504873508832,-203.833560674001,-198.881121340532,317.73419154683,-174.460546705153,-167.423823678871,428.534950380334,-238.081925296088,-199.764857333578,366.051970698166,-267.859366310776,-165.986033079138,557.197977932089,-285.544375718698,-273.41196971311,558.004301374061,-504.620024853209,-193.128357566841
GML,304.630143183482,-163.648449705288,-159.84402669038,193.770702266109,-131.21973515507,-105.675661759738,331.907756768217,-185.415234068883,-175.379345760629,355.848801693458,-192.239197910626,-187.813321484622,304.253336959805,-186.546315650705,-154.577099129124,209.402309955019,-136.737712052208,-116.475821848545,514.419338918769,-256.143471681927,-250.675067390356,561.215885514879,-513.068463848397,-212.871921927664
