originator,OML.aic,OML.ols,OML.sp,GML.aic,GML.ols,GML.sp,Competitive Suppression.aic,Competitive Suppression.ols,Competitive Suppression.sp,Direct Suppression.aic,Direct Suppression.ols,Direct Suppression.sp,Generalized Competitive Suppression.aic,Generalized Competitive Suppression.ols,Generalized Competitive Suppression.sp,Generalized Direct Suppression.aic,Generalized Direct Suppression.ols,Generalized Direct Suppression.sp,ROE Competitive Suppression.aic,ROE Competitive Suppression.ols,ROE Competitive Suppression.sp,ROE Direct Suppression.aic,ROE Direct Suppression.ols,ROE Direct Suppression.sp
OML,290.533356563836,-160.997950939137,-154.096420344465,338.275333716939,-193.604613010392,-154.104659162478,365.810662452467,-195.896405303502,-191.611213487081,310.485786402263,-169.990919583758,-164.167561295821,422.896843702064,-231.274273587654,-190.3696752613,345.982636291179,-206.370329142537,-160.603980730668,552.97545925939,-285.993225765309,-269.964377809181,501.286841513818,-368.518036465543,-164.45900174959
GML,313.090156602095,-167.598355923113,-163.344273191302,206.677850009211,-120.596683775939,-107.370774268638,331.877774553055,-179.028694161339,-175.616589027347,354.781634601893,-193.110033686537,-187.716823290168,319.653531828159,-174.503958901716,-156.220256744423,214.719755272975,-137.196401536011,-118.446405317476,515.555374951256,-255.890226288411,-251.342296750271,559.883816094352,-478.135952592441,-208.354969865301
Competitive Suppression,383.987268956829,-213.054457598965,-208.459534090918,414.149294563841,-250.343055026912,-205.22970192169,340.537239580079,-186.575088977699,-180.322864358682,426.85922596757,-235.32584729989,-227.803355755903,369.903635786306,-215.097825464246,-183.1652846727,426.818937540433,-257.756762475688,-211.959481094553,491.313783318642,-242.416365371877,-239.151582401455,624.399818864453,-389.724527375338,-244.077030918013
Direct Suppression,351.584312733524,-196.143776706743,-186.499130815546,390.078487559616,-245.19617206168,-188.251210424641,432.522101416873,-249.519120352405,-228.961289390334,341.957568114064,-192.895513751861,-182.185973262063,476.06072577312,-294.926367941354,-228.341729683721,377.964110399259,-221.944248089182,-181.300874678988,584.656178804123,-301.9761587467,-289.630774340326,468.717553552302,-392.861684079957,-184.521310158147
Generalized Competitive Suppression,404.375772265761,-221.219633359235,-211.282881165229,344.753331244008,-212.773151816959,-179.81638090536,334.823865853165,-190.771767515985,-176.17748489256,441.329509447481,-237.862652625407,-231.283585710619,282.813921119294,-178.351826261121,-155.538912932738,362.08785226676,-215.930449733873,-187.389773199429,463.538707830146,-225.854932793579,-223.600403980085,614.993946191936,-411.394248377693,-245.402371417025
Generalized Direct Suppression,312.861562673733,-174.946720260851,-165.070875793899,205.668119996875,-146.865573901932,-115.891190745619,351.363642189622,-190.471859285166,-184.226403357583,344.413853520061,-183.344446587403,-179.24013857751,337.416330373438,-198.595014928844,-168.980040637664,172.249148868051,-160.897836189231,-102.498833754245,529.27957961323,-259.834892394544,-256.839102587841,593.347599995075,-469.545376217724,-186.953234911359
ROE Competitive Suppression,570.665581430043,-316.0240343314,-298.239986663452,616.675391720381,-476.082595245237,-300.891596119977,522.015548051896,-283.443090873211,-272.478700806533,590.802688437233,-329.666620505762,-309.368726941017,580.645932031701,-320.71376966702,-281.438444112539,619.103404533682,-455.390340735018,-302.468170513192,573.771155312635,-279.505507577072,-273.31705969434,712.968264119246,-404.572955380277,-318.826393691292
ROE Direct Suppression,575.648302036316,-322.805181906154,-318.407113355802,618.230917403438,-390.26198119136,-323.232705503833,603.13494396647,-332.795781168217,-331.4142539827,563.323431640137,-316.208354436184,-308.825951015633,652.067029970492,-384.826122239813,-338.299593976649,604.523128454761,-408.965495383917,-313.57041403185,700.836383957797,-363.13239315358,-357.207138923901,629.354637362314,-363.162199146945,-313.075662727943
OML,266.342923196784,-156.607904063852,-145.135023060175,316.996493383094,-227.598798463415,-151.69026697216,378.897321343226,-225.751239850741,-201.428128594443,299.187446402494,-203.876978924257,-168.61132225969,437.081261052198,-272.305553743366,-201.726400698522,330.612671263337,-273.39866267453,-165.156605088246,565.360971219537,-292.776796957094,-277.196245797067,569.610630027854,-547.037480156241,-223.149475121126
GML,300.982158200425,-163.017092145017,-158.107158608345,229.965935714063,-139.388555162234,-116.822277061198,349.606359165786,-198.025191549917,-187.406534190444,342.99170456306,-185.743467416751,-178.968927889714,343.708951935967,-201.62370870455,-172.143830293505,238.160122281347,-141.822253934388,-119.034056379416,528.166366824638,-265.410281766507,-259.043306513623,556.989208648444,-532.726111771728,-193.463612304531
