originator,OML.aic,OML.ols,OML.sp,GML.aic,GML.ols,GML.sp,Competitive Suppression.aic,Competitive Suppression.ols,Competitive Suppression.sp,Direct Suppression.aic,Direct Suppression.ols,Direct Suppression.sp,Generalized Competitive Suppression.aic,Generalized Competitive Suppression.ols,Generalized Competitive Suppression.sp,Generalized Direct Suppression.aic,Generalized Direct Suppression.ols,Generalized Direct Suppression.sp,ROE Competitive Suppression.aic,ROE Competitive Suppression.ols,ROE Competitive Suppression.sp,ROE Direct Suppression.aic,ROE Direct Suppression.ols,ROE Direct Suppression.sp
OML,277.622300284241,-150.882593695834,-147.167927981523,314.139313137237,-230.415255950153,-145.792998412946,388.112218331515,-223.822402918315,-205.251414262724,300.515266050118,-165.5507476864,-162.638095680975,443.306143724693,-249.904666892093,-201.88588695533,336.245577348802,-217.375834951508,-160.525391932652,568.823301593064,-291.634041414099,-280.292556291967,514.89007110516,-450.439390469985,-156.865968068715
GML,313.268231025989,-169.080586425714,-164.763388659089,206.27075014085,-133.567196190426,-109.440039540925,336.490863866275,-182.519235718863,-179.235905585091,362.700191464204,-197.446467391722,-190.089836595719,321.113408609589,-180.374087825456,-158.553356187677,228.548393106532,-151.448845845042,-120.07924685803,521.935359025794,-261.249443213278,-255.257228416525,546.724394183392,-518.915462943178,-210.1192607934
Competitive Suppression,399.776711056249,-222.867665778652,-213.016885396997,424.880093814318,-256.60453504279,-203.852618302321,334.856783358403,-188.336383599756,-183.087593582282,437.448124145088,-244.063088558132,-233.613131704408,382.715530994087,-220.848560193999,-184.926243249175,439.15382257201,-272.7443267476,-213.005801960669,466.458784087344,-240.205497411073,-230.804177266078,570.488308715296,-418.537921069817,-248.783865128694
Direct Suppression,361.490500245839,-194.943888144664,-189.196611116956,421.531717498518,-255.823214461762,-196.470685523192,441.064878137063,-239.243960429422,-230.667374509175,338.408891792969,-183.551932592986,-176.810038806075,508.188478870438,-293.441352242556,-232.391149183711,399.261807161207,-268.736519947399,-185.92279728596,595.2830362002,-295.613294663249,-291.258497038966,435.933380237086,-230.434445386054,-189.377604332238
Generalized Competitive Suppression,406.401205362964,-218.607581487304,-214.832005937848,361.760907553167,-196.544858331801,-182.856707700319,331.287858442303,-204.836959896136,-179.07579246528,443.640530618937,-238.531672949221,-235.312713816199,312.870260204462,-209.668144076275,-166.091801114523,375.86656066285,-206.589378452002,-191.095659421981,455.03798044742,-227.048753704896,-219.655008184524,609.070128384731,-394.428400827033,-242.246189563402
Generalized Direct Suppression,309.467919829207,-166.970260881148,-161.94894444224,176.459713366935,-116.535793761149,-107.172315686863,350.180430981615,-192.851842545557,-186.665558908114,343.524772197282,-181.941395677223,-178.450968255091,325.16427539289,-204.449350196136,-170.846983516246,135.732747905155,-104.949239830287,-86.6837300905738,525.904214880727,-260.184968875568,-257.116271372322,531.799079585442,-459.201348708857,-193.079341184941
ROE Competitive Suppression,567.379004141468,-300.667503846637,-293.71697461761,588.088478871837,-322.940609000547,-283.865487171198,516.908118467079,-270.974901368991,-267.916031397437,584.394454153883,-309.010239088441,-302.495372113227,567.00869734429,-324.854911253062,-271.441287167011,590.848387156426,-325.219152868414,-284.996035718143,573.275636328123,-285.546096920402,-279.562994819718,668.867599125678,-343.759281325113,-307.711999074765
ROE Direct Suppression,572.375993691387,-303.862746909894,-301.195578456593,616.612537908778,-356.5254544442,-324.521196589786,609.438326043734,-333.547687586226,-322.668774231415,565.217425534189,-298.030911276057,-295.348176214353,662.216857517053,-367.644066929566,-339.071913014527,612.330816433642,-358.100066505287,-320.841135764621,706.551723076714,-369.274816843399,-355.442629219171,671.517393191336,-351.886313068132,-297.433522892086
OML,276.871950639154,-156.892069436985,-150.848477920773,326.98566403489,-204.507271518472,-153.537559683243,368.808338118052,-204.048571660918,-194.563076210538,306.014836529604,-176.536873115523,-168.365941889629,422.499071564551,-233.676940887963,-194.083166657375,359.091534371924,-213.202949882877,-169.454228486948,551.179140953412,-288.4681725496,-271.647086187017,547.911616286242,-405.889193703387,-176.765486494063
GML,315.941492216528,-179.095776742327,-170.055489748355,191.24863272281,-154.139248168727,-115.076311482216,333.688216532558,-186.2776077946,-180.100893004703,368.588355263931,-206.03601409584,-193.906676704186,317.526921562886,-176.207028555393,-156.295647805217,215.86873815243,-224.019217549856,-124.977940545073,520.814266550583,-259.742021613654,-253.993517974125,560.35116968026,-577.096853864454,-216.196848622095
Competitive Suppression,379.969956044147,-215.918566213587,-208.958836141084,421.578260736187,-244.490229134666,-201.424047538984,301.555037731201,-174.01321647226,-164.633737498553,422.120562412903,-237.807268539146,-228.154981190086,360.581915492187,-269.374852424059,-166.342979165785,438.720832626307,-243.428020059693,-208.63642334879,462.883181693811,-236.557709825081,-223.949815185845,619.872444998672,-418.424139982833,-243.748504895531
Direct Suppression,371.83340059248,-209.262070242743,-199.730560842309,416.565416137445,-361.033474998951,-198.907925515116,447.454949421595,-266.53224077828,-236.268060364355,352.315846364867,-209.17050244219,-190.303839364629,503.072253734731,-470.330280535446,-233.834594281915,410.012451683501,-313.523063628146,-191.319904820938,594.482127075727,-310.185721466143,-293.566153113627,495.522910488028,-316.960261956488,-199.652580382988
Generalized Competitive Suppression,401.013070649,-239.270539239666,-213.586360171144,342.549308299399,-232.577931203473,-176.373097897567,351.701898265486,-189.538943671637,-183.442179457508,436.26290810241,-265.189503611083,-231.220967056159,314.300120614406,-179.777955882433,-157.144671110519,351.510404042432,-237.862040523888,-178.629647660433,482.064514986697,-238.202388173497,-234.839247015451,610.956308795039,-419.144154767579,-242.755503249384
Generalized Direct Suppression,303.025413898452,-162.962156674661,-157.940368805795,223.506403094704,-152.811799424156,-116.760721475994,339.139052925324,-188.635445800879,-182.522499376901,337.928369959339,-179.194218760003,-176.693683104281,338.131867373649,-191.168856214958,-172.094494334876,201.375874073359,-126.81327483895,-106.338132802293,516.54896802458,-258.977539078945,-254.289973101855,554.925271815741,-501.48377143203,-190.239801961703
ROE Competitive Suppression,565.560420097673,-308.734806038558,-298.540789256456,601.937648882642,-343.381501167989,-295.758560920803,520.649663742336,-277.992370278003,-274.323848966242,583.889247376986,-318.139263563329,-307.639079611458,579.650166012145,-315.818340708685,-283.068654085236,604.216347216563,-342.702393907341,-296.622616432359,576.757455610344,-274.26930199825,-267.70907463063,682.439612573918,-361.215139350767,-312.452780905542
ROE Direct Suppression,580.201584468804,-319.419051470959,-316.377842667487,629.688347492137,-362.692400395772,-323.367348838715,603.20340301471,-328.993684893197,-326.216151451392,568.880571091867,-310.580961032056,-307.418522045595,655.096917698716,-370.341263832646,-332.560014526172,620.734297664174,-361.281494221537,-317.387496983244,692.409754495232,-354.187904986444,-349.616680498243,647.909769081525,-328.662530661567,-312.421481496898
OML,295.233355924597,-166.287591368914,-158.392037411023,312.516285353978,-186.580221974302,-156.573493184952,366.762882730279,-208.094163748758,-199.883413924741,332.624891937069,-187.958072585458,-177.522553475371,402.793526717589,-218.159620411622,-199.195760340216,355.465547675103,-217.079975395778,-171.1275149829,554.077510698152,-277.701394865454,-272.061660449925,521.211296971148,-477.642153916029,-177.686740309379
GML,291.798211009119,-161.047245283529,-153.798176673325,196.768159689371,-131.545225466641,-99.1156116502151,336.129486047584,-180.798184171727,-178.521322557204,349.278368195784,-196.218870626413,-186.526884210854,336.143144694936,-199.459144956296,-162.451330467107,236.10336122128,-163.20613460838,-125.070301876293,523.534014928427,-260.653105892901,-255.622105554554,586.638946578659,-513.576006911368,-208.696337250061
Competitive Suppression,399.627822948973,-226.934533940655,-215.035413041546,446.924589754492,-274.56579795784,-211.721241178523,317.259418720093,-186.414133312571,-172.943884479265,436.245490467244,-251.016088960626,-232.859136601378,371.033213396353,-271.309267800041,-175.795649921679,461.048445488262,-291.865632618374,-217.14961296387,456.331307434404,-225.889081064569,-219.849857809399,639.47369946048,-417.864152281751,-251.935477869548
