originator,OML.aic,OML.ols,OML.sp,GML.aic,GML.ols,GML.sp,Competitive Suppression.aic,Competitive Suppression.ols,Competitive Suppression.sp,Direct Suppression.aic,Direct Suppression.ols,Direct Suppression.sp,Generalized Competitive Suppression.aic,Generalized Competitive Suppression.ols,Generalized Competitive Suppression.sp,Generalized Direct Suppression.aic,Generalized Direct Suppression.ols,Generalized Direct Suppression.sp,ROE Competitive Suppression.aic,ROE Competitive Suppression.ols,ROE Competitive Suppression.sp,ROE Direct Suppression.aic,ROE Direct Suppression.ols,ROE Direct Suppression.sp
OML,274.109389699432,-167.113613790937,-148.206639496994,320.536620238532,-181.980073568094,-150.436246473591,372.030633696872,-202.268863737136,-196.779629506872,296.748760707764,-160.062393023894,-155.980567336016,425.575367351857,-249.713267512308,-197.456634886661,328.7289756387,-201.410723938736,-153.318632966046,555.775368998536,-278.221678849665,-272.592244262266,591.428349715321,-396.324010871532,-173.175913170895
GML,317.926097128506,-169.043783422184,-166.225701841859,230.758913755261,-154.564673955511,-122.226739858994,345.126210338172,-190.819286941697,-183.723283437285,365.698285557516,-196.259847877171,-193.349006167538,337.06300769251,-192.840640346844,-166.705424311527,243.539284866027,-145.585694724833,-129.727091938424,522.998426970504,-257.59455343574,-254.305647335336,610.991866153003,-534.072284612389,-210.805505296335
Competitive Suppression,353.492232450045,-207.573908923633,-197.488765909966,375.718331925206,-240.538585207704,-191.743070072655,303.191463999389,-184.297657346436,-172.624069992325,397.70141060213,-236.261526074755,-220.151434242393,344.472423467403,-260.623117305986,-169.032377597585,392.660684534319,-271.558820187422,-199.608146022997,473.182589938761,-238.006514345135,-229.919004831632,602.909522355363,-596.448441365511,-239.00985073484
Direct Suppression,357.044647239491,-196.905044870092,-195.302889159836,397.236781670403,-401.345348456679,-200.326832648393,455.014741152448,-250.60172027034,-241.41613202309,337.197070243385,-181.803938186455,-180.765599041068,502.4202038558,-290.260126749451,-242.759182634589,377.774659408349,-575.364492051928,-187.240197663596,602.659322248276,-301.124436212565,-296.003477604539,510.17632402865,-465.466534021218,-191.393344681672
Generalized Competitive Suppression,382.913423451565,-203.58163588165,-199.859220828035,312.956190702294,-188.047551104127,-163.582718875579,325.513040238696,-181.647527539572,-173.890285688404,417.955309996563,-222.366810486278,-219.090977169694,274.417982787448,-180.862955020678,-146.081597981035,323.127271384382,-189.862569539195,-167.352454647625,488.807276751017,-242.811976045362,-233.589923754854,608.415383771654,-462.178313777783,-228.327132293742
Generalized Direct Suppression,327.583326694516,-181.963180286168,-171.024314618004,238.970643429517,-149.864606637967,-132.272645306554,355.586488414088,-210.117750730223,-188.862842964647,355.406464537142,-191.333235969495,-185.455985097942,358.908328424197,-237.726461530838,-176.165425061096,200.318382040602,-144.488271866625,-115.038934323835,526.732512668455,-268.479294741273,-256.827817261064,539.808723565693,-404.322726489944,-200.549893271174
ROE Competitive Suppression,548.52383174572,-309.09530564641,-296.713921538114,589.271919950228,-343.899537190052,-293.525363426318,496.593242417184,-272.488791102158,-268.557597509622,568.833554423262,-319.382006600877,-305.900387291991,551.018688967768,-319.898693879746,-275.467673352616,593.405424566647,-349.946406449538,-294.310205144524,550.114322178949,-257.647341758012,-255.190903330976,695.566978681985,-388.146376073357,-314.704701199475
ROE Direct Suppression,582.080961473041,-309.082470090548,-305.911239310649,638.06119678041,-370.52335828227,-321.340101049928,597.319982008001,-324.607316645663,-316.954287332988,572.837456854117,-303.275347661452,-299.864737449374,662.022107470779,-363.0933947325,-331.809832971469,627.450316381533,-373.447376095116,-314.930882280235,687.75477773355,-347.204179783081,-344.201491653112,651.299287212232,-323.614173712159,-302.469009767321
OML,275.174076678908,-150.515838605318,-148.09540077952,340.669501044105,-190.135966805687,-153.104964283394,375.594268800554,-203.806362569253,-199.074732913725,305.052727249734,-170.917524923566,-167.43005239696,446.413206747384,-262.429721439093,-198.331185727625,343.624756917683,-196.24449721575,-163.256622908394,559.667820670139,-283.762433615153,-274.843248087407,571.36388626606,-369.557787729866,-183.474371821258
GML,320.271215655241,-175.664198611798,-169.390814548763,208.144151328526,-131.645469945572,-108.684098634064,327.893426039897,-184.875129747142,-176.231012942171,372.159529232756,-199.489838786352,-196.181907009089,315.681983354286,-211.200054177114,-153.456818092762,233.737026544705,-210.447331512383,-119.934052680924,510.88945412467,-257.193943233304,-249.866257861178,605.738377312405,-498.695629483444,-212.946555333256
Competitive Suppression,368.527811107095,-210.462191251311,-197.845349695236,415.328904342604,-275.48288059984,-192.427759172492,308.072816463745,-171.066494909816,-162.033594822431,411.83662365708,-234.112305635705,-216.796539113122,361.218522886905,-209.001313250891,-163.541710416078,432.169199331594,-242.607983249573,-195.184034217569,472.271913277672,-233.475887806801,-228.95851603904,594.277114788505,-435.743223618947,-238.795304282887
Direct Suppression,360.083527454816,-200.497836736163,-193.841940223013,417.8379230432,-251.509006058984,-198.088818385296,428.32693555523,-247.957141682207,-231.226932817579,335.41590068291,-185.830597311787,-178.951135652684,492.841255817046,-305.342853464441,-231.644021878075,397.460928559728,-238.4625905918,-182.379990203313,588.579643536574,-310.866200240291,-291.723224088647,451.175289135186,-315.604393293711,-193.755355695545
