originator,OML.aic,OML.ols,OML.sp,GML.aic,GML.ols,GML.sp,Competitive Suppression.aic,Competitive Suppression.ols,Competitive Suppression.sp,Direct Suppression.aic,Direct Suppression.ols,Direct Suppression.sp,Generalized Competitive Suppression.aic,Generalized Competitive Suppression.ols,Generalized Competitive Suppression.sp,Generalized Direct Suppression.aic,Generalized Direct Suppression.ols,Generalized Direct Suppression.sp,ROE Competitive Suppression.aic,ROE Competitive Suppression.ols,ROE Competitive Suppression.sp,ROE Direct Suppression.aic,ROE Direct Suppression.ols,ROE Direct Suppression.sp
OML,324.561506833508,-174.521357530847,-169.901846477339,375.014482476027,-282.083437044857,-173.296058895453,387.119727080213,-203.343646285323,-200.883106560638,349.937922874394,-189.586140334156,-182.744201740153,452.65222728758,-255.381470330008,-203.70656356318,378.426622196256,-235.911662592308,-175.785558276935,560.671076386151,-278.183958976987,-272.743324348875,569.953304341439,-450.274107185591,-194.127052387925
GML,302.645080583474,-175.177597068413,-159.900809519545,211.815352140993,-117.351102043747,-110.890026551851,333.890972855901,-188.741808224958,-180.287810266188,351.547717573476,-193.835726949792,-186.016453442819,331.936530435871,-190.217330495855,-165.675284594541,235.745506963789,-129.207316076624,-121.0844621823,515.767307294271,-255.035501761321,-251.982307868668,588.767958618862,-664.493051970567,-201.698105682258
Competitive Suppression,340.58072025131,-204.562041985137,-189.950020551528,364.202071676668,-381.926632506095,-181.761064978782,306.973695012073,-173.791256430303,-166.328542762877,385.257845843468,-228.274394638091,-212.705389179567,339.259526499359,-232.230017909347,-165.41022555778,387.290528994524,-252.257457955847,-191.613994533088,483.053759390016,-247.992267829312,-238.685444939705,615.96852260309,-466.956306038875,-229.678874292193
Direct Suppression,366.067026354218,-197.666453329684,-194.36617002733,405.371829219626,-238.576031221919,-192.351827059673,450.152419122877,-241.805166872607,-235.967378011221,354.736063891231,-217.451762744601,-188.594419200524,496.050049056295,-384.161435201549,-235.961747104567,403.612830166697,-260.137381886781,-188.988999171117,600.343193519173,-300.121800847752,-294.484169848067,499.508456045601,-447.945971786815,-193.075761303066
Generalized Competitive Suppression,397.305075527435,-226.052412090776,-212.380088854276,336.88709357753,-299.082408524517,-177.126671702168,337.851592607521,-187.714344985215,-176.41253511597,433.51296903947,-243.761074005094,-232.613657514756,301.956405775495,-192.063370713943,-157.853731200759,350.880208286252,-216.033717213165,-184.792174355092,483.224357295225,-243.437837394008,-233.706073838415,641.202201218572,-493.987380760031,-254.238831843138
Generalized Direct Suppression,319.200303480074,-174.446134607742,-166.764404118094,219.04591980693,-121.440680803987,-108.87711813107,352.158598692644,-191.337468937883,-185.58932496939,347.987844661027,-188.1790805626,-180.659210193679,336.616682669542,-191.821026443183,-167.161902453325,170.820496516825,-105.215661657873,-84.0704846599344,526.336209603278,-262.919521461993,-257.011318588486,539.690621299531,-525.598337488348,-194.925512201172
ROE Competitive Suppression,564.145069940843,-307.559084696774,-301.961817124268,597.396646691366,-329.766543160115,-298.284328075576,510.155395588829,-281.966990430937,-276.3576615826,584.349431373654,-317.987159662907,-311.500722200257,570.264922809816,-326.435117668783,-285.547976020256,598.99374865496,-339.761479916749,-298.43523393976,577.769892849699,-291.174993934544,-288.993150284056,690.663149277606,-392.243091903416,-316.204939369351
ROE Direct Suppression,585.505315506938,-325.147509407589,-320.227531987662,639.375416394465,-447.636168493893,-324.86792219278,600.644573584636,-418.868935473743,-333.142009997356,575.954045815362,-322.058255894578,-315.130664731447,654.139323390397,-574.945587064823,-334.058564131059,630.384236570559,-451.643194150718,-321.029574827224,689.548335624552,-363.679416439782,-352.741085957221,637.354222568725,-353.263026694064,-314.547744879004
OML,277.98482730458,-156.265848919604,-149.918430115526,328.037871759549,-196.173942333598,-154.013498668138,375.737786597173,-211.971510782952,-200.412460198161,320.497271213069,-182.370108239258,-173.369157819921,429.346429256476,-268.988925400354,-202.281383402935,353.967767452402,-212.11742141857,-166.976483112551,554.752631868697,-280.233485339982,-272.531757074551,576.87429753152,-718.314695546664,-206.730857671019
GML,303.162952531183,-161.927780101722,-158.778306177953,193.04339400484,-145.490687747307,-113.572505590675,333.584500503494,-180.651821566431,-177.360963278894,352.454943174354,-186.250570630001,-183.774406706287,323.316303935159,-205.032639840924,-162.620846069756,209.79696302396,-161.338363697771,-116.260302256285,512.922967625314,-254.603221749755,-249.671137111661,586.809303672055,-501.050729298632,-195.287876732981
