originator,OML.aic,OML.ols,OML.sp,GML.aic,GML.ols,GML.sp,Competitive Suppression.aic,Competitive Suppression.ols,Competitive Suppression.sp,Direct Suppression.aic,Direct Suppression.ols,Direct Suppression.sp,Generalized Competitive Suppression.aic,Generalized Competitive Suppression.ols,Generalized Competitive Suppression.sp,Generalized Direct Suppression.aic,Generalized Direct Suppression.ols,Generalized Direct Suppression.sp,ROE Competitive Suppression.aic,ROE Competitive Suppression.ols,ROE Competitive Suppression.sp,ROE Direct Suppression.aic,ROE Direct Suppression.ols,ROE Direct Suppression.sp
OML,284.013034288108,-158.282037884055,-150.335605286655,341.010137890311,-198.767663707978,-154.511374665099,369.129537865872,-204.20162919419,-198.687070328528,326.477105783769,-191.394731937836,-179.073469127959,431.718186706045,-228.87154328176,-199.375062433024,366.926694932528,-227.711882912406,-177.547234512741,550.854404319549,-297.121630611413,-271.15657951234,616.887783095907,-554.658177013274,-204.434210064826
GML,298.887352749638,-164.843768867046,-155.752138754785,179.716919566314,-117.569343202087,-96.5291859110453,335.961818107661,-186.242904117826,-178.049557833665,344.469673455321,-185.752483655871,-180.923806069429,322.524272846688,-185.368386297503,-160.752127875191,195.524661868002,-134.613234727419,-103.74859456768,521.653633928607,-257.583086037603,-254.069740118884,548.080904900582,-506.370728688464,-199.644238280963
Competitive Suppression,360.572900752549,-197.597253969804,-192.832053694126,406.125290256706,-216.341995164574,-197.073980343995,325.195556578999,-180.663764173092,-173.470735374324,410.275485337139,-223.198827489653,-219.50381476553,385.842512609309,-221.3415538616,-183.157988157076,430.73303965184,-229.422665477549,-207.0395329588,496.269541105927,-242.718934404957,-241.510475924048,631.347399303571,-472.030621598015,-239.856360722454
Direct Suppression,363.579963619448,-192.506304149763,-189.719705212451,399.724489976124,-228.022501058848,-193.263658480555,427.110939434987,-228.099999968229,-224.142398856123,338.651656686666,-180.400954421145,-177.427579651327,483.120639311492,-247.733357003121,-228.622646040254,385.090859183774,-198.818142240728,-183.605509496737,590.053798852894,-300.644590706562,-288.679010466016,540.737193889527,-293.93158435482,-189.378466660813
Generalized Competitive Suppression,400.704365699729,-217.112341992827,-210.967446035483,333.953210807031,-226.972187949232,-182.479096590749,343.082219468224,-192.023206448059,-183.341473189184,434.673092463131,-237.004827327397,-228.900166970991,307.607234874554,-218.298983965383,-168.441721138342,339.221851651596,-237.673342526458,-187.94189352805,483.682202381308,-235.53870782029,-233.723470743097,600.892989382242,-395.026552289026,-245.254899453076
Generalized Direct Suppression,307.067276326818,-165.072170215724,-160.284482940961,221.933056078145,-142.714772061894,-116.253162050886,352.521226573626,-188.740342665291,-185.270373829053,341.945204946948,-179.402754713704,-177.328171482545,347.921866797359,-254.453310622518,-170.842833087363,185.137045421455,-117.630425681035,-97.9500242492515,530.896227582701,-267.673781657367,-258.64246317847,516.048601366256,-379.941978474828,-193.728604583104
ROE Competitive Suppression,573.278559884141,-312.749339890308,-299.671809211081,613.360250019117,-337.634354459551,-297.471688296068,517.930181956683,-276.239090429952,-269.411574970328,591.482147588848,-327.204633872599,-309.742719712077,585.002393774856,-337.198992633837,-279.889767375037,618.253719643002,-346.670662964229,-299.028548821915,582.538589378102,-274.832003103246,-282.107658514465,683.458972941603,-371.336313845188,-315.677297100166
ROE Direct Suppression,597.926440103729,-327.287350385663,-324.098883014304,641.118862807715,-375.655641979932,-338.037786760895,622.169347974747,-350.889667896767,-345.140659139762,587.637001801075,-317.905647125742,-315.998004658729,679.206677308672,-402.794285223343,-345.289796180804,628.056300979785,-367.4196781511,-328.378702452309,705.448766096251,-373.102812332885,-362.739913205029,671.831014466481,-371.343939380741,-320.501535876524
OML,288.615347849659,-175.742968461217,-161.940055470069,330.497715386475,-182.150354355869,-161.029707650379,364.927775418459,-224.283714563257,-195.732534135757,327.619528161355,-191.613690991385,-180.712855076461,419.984016245498,-278.17759272612,-198.024066168456,343.507690474295,-195.12828339895,-170.241802174161,550.453157493744,-291.590425863713,-270.073261026539,581.305890844527,-592.656653942385,-200.141923460924
GML,299.140799615238,-165.781882649103,-158.027861145681,206.265041780583,-138.275944546563,-105.674141075412,336.831922406386,-182.461951992584,-179.253259112825,346.237286609363,-190.922698456253,-182.713203774503,337.6331217146,-210.61551447404,-166.36218631234,221.975966725773,-164.721695044587,-113.911071187223,520.528822759316,-263.739509062944,-255.752479886804,531.710268227868,-515.211639573198,-197.547334578952
